episode_name,link,airdate,show_name,series_name
"More Tribbles,  More Troubles",TAS001.htm,"6 Oct, 1973",Star Trek,The Original Series
The Survivor,TAS005.htm,"10 Oct, 1973",Star Trek,The Original Series
The Infinite  Vulcan,TAS002.htm,"20 Oct, 1973",Star Trek,The Original Series
The Magicks Of  Megas-Tu,TAS009.htm,"27 Oct, 1973",Star Trek,The Original Series
Once Upon A Planet,TAS017.htm,"3 Nov, 1973",Star Trek,The Original Series
Mudd's Passion,TAS008.htm,"10 Nov, 1973",Star Trek,The Original Series
The Terratin  Incident,TAS015.htm,"17 Nov, 1973",Star Trek,The Original Series
The Time Trap,TAS010.htm,"24 Nov, 1973",Star Trek,The Original Series
The Ambergris  Element,TAS013.htm,"1 Dec, 1973",Star Trek,The Original Series
The Slaver Weapon,TAS011.htm,"15 Dec, 1973",Star Trek,The Original Series
The Eye Of The  Beholder,TAS016.htm,"5 Jan, 1974",Star Trek,The Original Series
The Jihad,TAS014.htm,"12 Jan, 1974",Star Trek,The Original Series
The Pirates of  Orion,TAS020.htm,"7 Sep, 1974",Star Trek,The Original Series
Bem,TAS018.htm,"14 Sep, 1974",Star Trek,The Original Series
The Practical  Joker,TAS021.htm,"21 Sep, 1974",Star Trek,The Original Series
Albatross,TAS019.htm,"28 Sep, 1974",Star Trek,The Original Series
How Sharper Than  A Serpent's Tooth,TAS022.htm,"5 Oct, 1974",Star Trek,The Original Series
The Counter-Clock  Incident,TAS023.htm,"12 Oct, 1974",Star Trek,The Original Series
